"tweet_id","hashtag_name","time"
"170","#trumptrain…                  ","2016-09-26T01:15:15      "
"176","#lovetrumpshate               ","2016-09-25T21:11:20      "
"194","#americafirst…                ","2016-09-24T22:58:12      "
"200","#lovetrumpshate               ","2016-09-24T17:08:17      "
"207","#maga…                        ","2016-09-24T02:09:56      "
"207","#trumptrain                   ","2016-09-24T02:09:56      "
"210","#declareyourambition          ","2016-09-24T00:13:50      "
"220","#opioidawarenessweek          ","2016-09-23T17:32:20      "
"224","#maga…                        ","2016-09-23T15:55:55      "
"224","#trumptrain                   ","2016-09-23T15:55:55      "
"233","#makeamericagreatagain        ","2016-09-22T23:54:58      "
"243","#cripthevote                  ","2016-09-22T14:45:45      "
"243","#imwithher                    ","2016-09-22T14:45:45      "
"243","#ada                          ","2016-09-22T14:45:45      "
"244","#maga                         ","2016-09-22T14:03:32      "
"256","#maga…                        ","2016-09-21T21:51:50      "
"297","#terencecrutcher              ","2016-09-20T16:40:10      "
"300","#unga                         ","2016-09-20T14:23:59      "
"305","#makeamericagreatagain        ","2016-09-20T13:49:50      "
"305","#americafirst                 ","2016-09-20T13:49:50      "
"306","#makeamericagreatagain        ","2016-09-20T12:02:35      "
"306","#americafirst                 ","2016-09-20T12:02:35      "
"312","#americafirst                 ","2016-09-20T00:14:56      "
"312","#imwithyou                    ","2016-09-20T00:14:56      "
"369","#polls                        ","2016-09-18T21:00:38      "
"414","#maga                         ","2016-09-16T20:38:44      "
"460","#americafirst                 ","2016-09-16T03:20:31      "
"463","#trumppence16                 ","2016-09-16T02:37:51      "
"463","#thetonightshow               ","2016-09-16T02:37:51      "
"463","#jimmyfallon                  ","2016-09-16T02:37:51      "
"463","#thedonald's                  ","2016-09-16T02:37:51      "
"464","#fallontonight                ","2016-09-16T02:36:38      "
"464","#myteacherisweird             ","2016-09-16T02:36:38      "
"485","#hispanicheritagemonth        ","2016-09-15T21:16:27      "
"505","#maga                         ","2016-09-15T16:17:02      "
"510","#maga                         ","2016-09-15T14:34:13      "
"510","#lesm                         ","2016-09-15T14:34:13      "
"511","#maga                         ","2016-09-15T13:10:42      "
"521","#librarianofcongress          ","2016-09-15T02:33:39      "
"522","#americafirst                 ","2016-09-15T01:56:28      "
"522","#maga                         ","2016-09-15T01:56:28      "
"524","#wetrumphate                  ","2016-09-15T01:00:50      "
"542","#imwithyou                    ","2016-09-14T16:54:19      "
"562","#americafirst                 ","2016-09-14T13:44:02      "
"562","#imwithyou                    ","2016-09-14T13:44:02      "
"585","#election2016                 ","2016-09-13T20:04:31      "
"610","#makeamericagreatagain        ","2016-09-13T14:19:41      "
"612","#makeamericagreatagain        ","2016-09-13T13:10:31      "
"615","#maga                         ","2016-09-13T02:03:46      "
"615","#americafirst                 ","2016-09-13T02:03:46      "
"628","#maga                         ","2016-09-12T23:56:45      "
"670","#americafirst                 ","2016-09-10T01:58:26      "
"678","#imwithyou                    ","2016-09-09T21:10:47      "
"678","#americafirst                 ","2016-09-09T21:10:47      "
"680","#lovetrumpshate               ","2016-09-09T20:19:32      "
"686","#makeamericagreatagain        ","2016-09-09T16:15:00      "
"695","#maga                         ","2016-09-09T01:49:45      "
"695","#imwithyou                    ","2016-09-09T01:49:45      "
"698","#trumptrain                   ","2016-09-08T23:29:24      "
"698","#americafirst                 ","2016-09-08T23:29:24      "
"716","#imwithyou                    ","2016-09-08T19:03:53      "
"716","#americafirst                 ","2016-09-08T19:03:53      "
"726","#potus                        ","2016-09-08T16:23:48      "
"740","#commanderinchiefforum        ","2016-09-08T04:02:15      "
"745","#nbcnewsforum                 ","2016-09-08T01:25:41      "
"746","#nbcnewsforum                 ","2016-09-08T01:19:37      "
"750","#nbcnewsforum                 ","2016-09-08T00:53:02      "
"751","#nbcnewsforum                 ","2016-09-08T00:50:57      "
