#nationalvoterregistrationday ,1
#voterregistrationday         ,1
#makeamericagreatagain…       ,1
#maga                         ,35
#imwithyou                    ,27
#lovetrumpshate               ,6
#strongertogether             ,6
#debates2016                  ,2
#shewon…                      ,1
#iregistered…                 ,1
#shewon                       ,1
#americafirst                 ,30
#imwithyou…                   ,1
#trumpwon                     ,1
#1                            ,5
#debatenight                  ,2
#maga…                        ,4
#americafirst…                ,2
#imwithher                    ,15
#benghazi                     ,1
#isis                         ,1
#debate                       ,1
#debate…                      ,1
#debatenight…                 ,1
#tpp                          ,1
#trumppence16                 ,18
#polls                        ,2
#slipping                     ,1
#trumptrain…                  ,1
#trumptrain                   ,29
#declareyourambition          ,1
#opioidawarenessweek          ,1
#makeamericagreatagain        ,118
#ada                          ,1
#cripthevote                  ,1
#terencecrutcher              ,1
#unga                         ,1
#thedonald's                  ,1
#jimmyfallon                  ,1
#thetonightshow               ,1
#myteacherisweird             ,1
#fallontonight                ,1
#hispanicheritagemonth        ,1
#lesm                         ,5
#librarianofcongress          ,1
#wetrumphate                  ,1
#election2016                 ,1
#potus                        ,7
#commanderinchiefforum        ,1
#nbcnewsforum                 ,2
#media                        ,1
#votetrump                    ,33
#laborday                     ,1
#alconvention2016             ,1
#trumpineverett               ,1
#obamacare                    ,5
#rip                          ,1
#juangabriel                  ,1
#divodejuarez                 ,1
#goodtrouble                  ,2
#trumppence2016               ,2
#neverhillary                 ,3
#blackmenforbernie            ,1
#hillary2016                  ,1
#blacksfortrump               ,1
#enjoy                        ,1
#womensequalityday            ,1
#crookedhillary               ,9
#flashbackfriday              ,1
#nps100                       ,1
#crookedhillary's             ,1
#brexit                       ,2
#hannity                      ,3
#buildthewall                 ,1
#makeamericasafeagain         ,3
#diwali                       ,1
#blackwomensequalpay          ,1
#laflood                      ,1
#smallbiz                     ,2
#teamtrump                    ,4
#alwaystrump                  ,2
#standwithlouisiana           ,1
#whereshillary                ,1
#whd                          ,1
#rosanelleaton                ,1
#lawandorder                  ,1
#daca                         ,1
#extremevetting               ,1
#usa                          ,1
#youthday                     ,1
#tbt                          ,10
#electionday                  ,1
#2a                           ,2
#defendthesecond              ,1
#scotus                       ,4
#taxplan                      ,1
#nevertrump                   ,3
#icymi                        ,5
#purpleheartday               ,1
#imwithhernandez              ,1
#virwinia                     ,2
#demconvention                ,7
#restorethevra                ,1
#ugpride2016                  ,1
#teamusa                      ,1
#openingceremony              ,1
#rio2016                      ,1
#nabjnahj16                   ,1
#coastguardday                ,1
#trumpmovement                ,1
#voterfraud                   ,1
#msm                          ,1
#khizrkhan                    ,1
#trump2016                    ,127
#demsinphilly                 ,4
#dnc                          ,1
#nato                         ,2
#stopgunviolence              ,3
#enough                       ,2
#lgbt                         ,2
#pulse                        ,1
#dncinphl                     ,1
#demsinphl                    ,2
#wemadehistory                ,1
#rollcallvote                 ,1
#rncincle                     ,6
#hillarykaine2016             ,1
#clintonkaine                 ,1
#rncwithbernie                ,1
#trumpiswithyou               ,1
#standtogether                ,1
#trumpyourself                ,1
#gopincle                     ,1
#gopconvention                ,4
#citizensunited               ,2
#rncincle's                   ,1
#aidsfreegeneration           ,1
#60minutes                    ,1
#campaignfinance              ,1
#turkey                       ,1
#mikepence                    ,1
#juntossepuede                ,1
#irandeal                     ,1
#fixdemocracyfirst            ,1
#feelthebern                  ,1
#naacp107                     ,1
#work                         ,1
#orlando                      ,1
#stopthehate                  ,2
#neverforget                  ,1
#srebrenica                   ,1
#wimbledon                    ,1
#philandocastile              ,1
#frozen                       ,1
#firstinpotus                 ,1
#riggedsystem                 ,1
#leadright2016                ,1
#wcs16                        ,1
#makersandtakers              ,1
#wakeupamerica                ,2
#creatorsaskhrc               ,2
#upupup                       ,1
#trump                        ,10
#turnuptovote                 ,1
#ohhillyes                    ,1
#dtmag                        ,1
#usmc2016                     ,1
#nycpride                     ,1
#demplatform                  ,1
#westvirginia                 ,1
#brexitvote                   ,1
#democraticsitin              ,1
#titleix                      ,1
#clinton                      ,1
#nobillnobreak                ,1
#gunviolence                  ,2
#sitin                        ,1
#aslongasittakes              ,1
#nomoresilence                ,1
#disarmhate                   ,3
#endgunviolence               ,1
#notonemore                   ,1
#holdthefloor                 ,1
#olmstead                     ,1
#gibill                       ,1
#veterans                     ,1
#moreincommon                 ,1
#worldrefugeeday              ,1
#laudatosi                    ,1
#charleston9                  ,1
#trumpdallas                  ,1
#sheswithus                   ,1
#orlandounited                ,1
#filibuster                   ,1
#armybday                     ,1
#netneutrality                ,1
#stanleycup                   ,1
#rtm2016                      ,1
#wibackher                    ,1
#historymade                  ,1
#caprimary                    ,2
#dday                         ,1
#decision2016                 ,1
#elkhart                      ,1
#votetrump2016                ,2
#women4ttump                  ,1
#saveelephants                ,1
#teachers4trump               ,1
#ca4trump                     ,1
#neverdems                    ,1
#caribbean                    ,1
#understandslavery            ,1
#memorialday                  ,1
#mdw                          ,1
#meetthetrumps                ,1
#sallyrideday                 ,1
#uaw                          ,1
#actonclimate                 ,2
#armedforcesday               ,1
#michaelbrown                 ,1
#mothersofthemovement         ,1
#changeagents                 ,1
#secondamendment              ,1
#sayhername                   ,1
#megynkellypresents           ,1
#orprimary                    ,1
#madeinamerica                ,1
#internationalnursesday       ,1
#washingtondc                 ,1
#statehood                    ,1
#repmikekelly                 ,1
#nebraskaprimary              ,1
#trumpforpresident            ,1
#mattschlapp                  ,1
#jenniferrubin                ,1
#gop                          ,2
#mothersday                   ,1
#madeforhistory               ,1
#kentuckyderby                ,1
#cincodemayo                  ,1
#smallbizweek                 ,1
#thanksobama                  ,1
#teacherappreciationday       ,1
#inprimary                    ,3
#apahm                        ,1
#whcd                         ,1
#fns                          ,1
#mayday                       ,1
