1;9
2;9
1;8
1;13
2;5
4;11
1;5
1;5
1;5
1;8
5;6
1;7
1;16
8;14
1;19
1;12
1;6
1;7
1;11
2;14
1;13
1;13
1;9
1;10
1;5
1;20
2;9
7;10
1;15
1;22
1;9
1;7
2;9
2;15
1;14
4;10
1;17
1;13
1;8
1;16
3;14
1;13
14;12
1;14
1;4
2;14
1;14
2;14
1;11
1;6
1;13
1;13
1;12
3;10
1;12
1;10
4;10
1;7
1;23
1;10
1;15
1;9
1;5
1;14
1;6
1;1
4;7
1;16
218;22
1;17
1;9
3;8
1;11
1;16
1;14
2;11
3;10
2;11
13;10
2;7
1;10
1;15
2;5
1;17
60;13
1;12
62;10
1;13
1;10
1;11
1;13
1;9
2;12
1;4
1;7
3;8
1;5
1;11
1;12
1;7
2;6
1;11
4;7
7;10
1;7
1;11
1;5
1;3
1;10
1;21
1;10
1;13
11;6
1;12
1;10
1;12
1;8
1;9
1;13
1;13
1;14
1;6
1;11
1;6
7;29
1;8
5;6
313;10
1;16
5;5
1;22
1;7
1;23
1;8
1;10
1;12
1;6
3;11
1;15
1;11
1;8
1;16
1;12
1;12
1;4
1;4
1;11
2;9
1;5
1;16
2;15
1;10
1;14
1;20
1;15
6;10
4;7
1;8
1;9
2;10
1;10
1;11
2;15
1;7
6;11
1;18
1;14
2;10
1;23
53;5
2;14
1;14
1;12
1;11
1;14
1;9
1;4
1;10
2;10
1;11
1;10
1;16
1;13
1;12
3;17
1;4
1;9
3;11
1;8
1;12
1;20
2;13
2;7
1;13
1;12
1;11
2;14
1;10
1;4
7;12
1;9
1;15
7;17
1;16
31;11
1;12
1;11
1;9
1;14
1;14
1;10
1;20
1;5
1;14
1;14
1;9
2;13
2;5
2;15
1;12
1;14
1;7
2;13
1;12
1;8
1;4
1;15
2;13
2;5
1;4
1;8
1;12
59;9
1;12
4;12
1;29
1;7
1;11
1;11
12;13
3;21
1;12
1;4
1;12
1;10
1;16
11;4
4;14
2;9
1;15
2;14
6;15
1;6
1;8
1;5
1;13
1;8
1;6
1;6
1;10
1;15
1;10
9;10
1;10
1;7
2;5
1;21
1;10
49;10
1;9
1;16
2;14
1;13
1;9
1;10
1;14
1;14
1;12
8;15
1;14
1;12
1;4
1;8
1;8
1;13
1;18
1;5
1;13
1;8
1;11
1;10
1;8
51;12
1;8
1;11
14;14
1;13
21;10
1;12
1;11
1;4
1;4
53;13
1;4
1;12
2;7
23;13
1;10
1;12
1;7
1;12
2;9
2;8
1;18
1;11
1;8
2;12
1;16
1;13
7;12
1;15
1;16
1;13
2;12
1;9
2;14
3;3
1;15
1;16
1;8
5;2
2;14
1;11
1;13
1;22
15;9
1;16
1;19
1;13
1;15
1;19
1;13
1;21
1;9
1;18
2;12
13;15
2;4
1;4
24;5
17;13
1;14
1;11
2;11
1;5
2;12
2;12
6;13
1;2
1;10
1;12
2;12
1;12
1;14
6;14
2;20
1;13
3;16
1;12
1;16
4;14
2;11
1;15
1;21
1;12
4;13
2;5
1;15
1;17
1;7
1;13
1;13
1;16
7;6
1;8
1;3
1;7
1;14
1;16
1;13
4;18
1;8
1;9
1;13
1;9
2;6
1;15
1;12
10;10
1;12
1;3
19;10
3;3
1;12
9;12
1;18
1;12
6;10
1;5
1;14
1;7
1;7
